608_0 	ADC8VBKOVOCRR 	This essay is about the language of Bengali
2324_57 	A2JPXAF2MC24F7 	A picture drawn by Larry Ewing in 1996 was the inspiration behind Tux.
2324_58 	A2JPXAF2MC24F7 	Besides Tux there are OS-tan and some other characters representing Linux but are not much popular.
2324_59 	A2JPXAF2MC24F7 	However&#44; the name Linux was not given by Linus Torvalds.
2324_60 	A2JPXAF2MC24F7 	The credit of naming Linux goes to Ari Lemke.
2324_61 	A2JPXAF2MC24F7 	Lemke administered an FTP server called fpt.funet.fi at Helsinki Institute of Technology.
2324_62 	A2JPXAF2MC24F7 	The server was a part of Finnish University and Research Network and one of the institutes connected with this network was Linus&#39; University of Helsinki.
2324_63 	A2JPXAF2MC24F7 	When Linus gave his operating system project to Lemke to preserve in this server&#44; Lemke kept it in a directory that he named as &#39;Linux&#39; which is the abbreviated form of &#39;Linus&#39; Minix&#39;.
2324_64 	A28YA9BQFLXOPT 	Linux himself wanted to name it &quot;Freax&quot;&#44; which was the mixture of free and &quot;X&quot; from the last part of Unix.
2324_65 	A3F9QBUALMKO1 	At last the name &#39;Linux&#39; by Lemmke was adopted..
2324_67 	A2JPXAF2MC24F7 	Linux kernel and majority of the GNU elements are covered by GNU General Public License (GPL).
2324_68 	A3F9QBUALMKO1 	All the modification of the source code and its related works are performed under GPL.
2324_69 	A2JPXAF2MC24F7 	In 1997 in this respect Linus said&#44;&#39;Bringing Linux under GPL is undoubtedly my best work.
2324_70 	A2JPXAF2MC24F7 	&#39;Other systems associated with Linux use separate licenses&#44; for example&#44; many code libraries use LGPL license and the X-Window system use MIT license.
2324_72 	A3F9QBUALMKO1 	Linus Torvalds of United States is the owner of Linux trademark.
2324_73 	A3F9QBUALMKO1 	Presently&#44; the licensing of the trademark is being handled by the Linux Mark Institute (LMI).
2324_74 	A3F9QBUALMKO1 	LMI is also trying to establish the Linux trademark in the other countries other than United States.
2324_76 	AZVAVU4OYMG2A 	Mutual usability
2324_77 	A29I4DG0VTW9X3 	Compatibility of Linux
2324_79 	A29I4DG0VTW9X3 	Primarily Linux Kernel had been built only for 386-type processors.
2324_80 	A2LG0SJYIUIRNC 	Later it is enabled to work under different architecture.
2324_83 	A29I4DG0VTW9X3 	x86-64 (AMS&#39;s AMD64 and Intel&#39;s EM64T)
2324_85 	A3F9QBUALMKO1 	ARM (Advanced RISC Machine)
2324_87 	A3F9QBUALMKO1 	ESA/390 (Enterprise Systems Architecture/390)
2324_89 	A3F9QBUALMKO1 	MIPS (Microprocessor without Interlocked Pipeline Stages)
2324_97 	A2HFASY1SVXPSP 	Command Line Interface
2324_98 	A2WEPQZ7UNOYYF 	X Window Manager
2324_99 	A2WEPQZ7UNOYYF 	Desktop Environment
2459_10 	A3F9QBUALMKO1 	He received many awards in his colourful career.
2459_11 	A2HFASY1SVXPSP 	Among these the most famous one is the honorary Academy Award(Oscar) in 1991 for Lifetime Achievement.
2459_16 	A2HFASY1SVXPSP 	Satyajit Ray&#44; 1932
2459_17 	A2HFASY1SVXPSP 	Satyajit Ray&#39;s ancestry can be traced back for at least ten generations
2459_18 	A3F9QBUALMKO1 	But from the time of his grandfather Upendrakishore Ray&#44; Satyajith&#39;s family took a historical turn.
2459_19 	A3F9QBUALMKO1 	Writer&#44; illustrator&#44; philosopher&#44; publisher&#44; amateur astronomer Upendrakishore Ray was mainly known as a leader of  the Brahmo Samaj&#44; a religious and social movement of Bengal in the 19th century.
2459_20 	A2HFASY1SVXPSP 	Sukumar Ray&#44; Upendrakishore&#39;s son&#44; was a pioneering Bengali writer of nonsense rhyme and children&#39;s literature
2459_21 	A31II4QBW2DURA 	Sukumar was also famous as a painter and critic.
2459_22 	ADC8VBKOVOCRR 	Satyajit Ray&#44; the first son to Sukumar Ray&#44; was born in the year 1921.
2459_23 	A31II4QBW2DURA 	When Satyajit was only three years old&#44; he lost his father; his mother Suprabha brought him up amidst many difficulties.
2459_25 	A28YA9BQFLXOPT 	On 1940 Satyajit&#39;s mother requested him to get admitted in Biswa-Bharati Vidyalaya in Shantiniketan established by Rabindranath Tagore.
2459_26 	ADC8VBKOVOCRR 	The Kolkata lover Satyajit did not hold a high opinion for the educational environment of Shantiniketan&#44; but finally he agreed due to his mothers insistence as well as his great regard for Rabindranath Tagore.
2459_27 	A3F9QBUALMKO1 	In Santiniketan&#44; Satyajit feels the appreciation for oriental art.
2459_28 	A3F9QBUALMKO1 	Later he admitted that he learnt lots of things from the famous painters Nandalal Bose and Benode Behari Mukherjee.
2459_29 	A3F9QBUALMKO1 	Later Satyajit made a documentary on Benode Behari Mukherjee.
2459_30 	A31II4QBW2DURA 	His respect for the Indian art grew after he travelled to Ajanta&#44; Elora and Elephanta.
2459_34 	A2HFASY1SVXPSP 	Satyajit in his Shantiniketon years.
2459_35 	A2HFASY1SVXPSP 	Although Satyjait was supposed to complete a five years course in Visva-Bharati University&#44; In 1943&#44; he left Shantiniketon and joined a British-run advertising agency in Kolkata&#44; D.J. Keymer&#44; as a &quot;junior visualiser&quot;&#44; earning just eighty rupees a month
2459_36 	A2HFASY1SVXPSP 	Although on the one hand&#44; visual design was something close to Ray&#39;s heart and&#44; for the most part&#44; he was treated well&#44; there was palpable tension between the British and Indian employees of the firm (the former were much better paid)&#44; and Ray felt that &quot;the clients were generally stupid&quot;.
2459_37 	A2HFASY1SVXPSP 	Soon after&#44; Ray also became involved with Signet Press&#44; a new publishing house started up by D. K. Gupta.
2459_38 	A2HFASY1SVXPSP 	Gupta asked Ray to create cover designs for books published from Signet Press and gave him complete artistic freedom
2459_40 	A3F9QBUALMKO1 	Apart from that&#44; he also worked on Am Antir Bhepu&#44; a children&#39;s version of Pather Panchali novel written by classic Bengali novel writer&#44; Bibhutibhushan Bandopadhyay.
2459_41 	A3F9QBUALMKO1 	Satyajit was deeply influenced by this novel and decided to make it the subject of his first film.
2459_42 	A2HFASY1SVXPSP 	In addition to designing the cover&#44; he illustrated the book;
2459_43 	A3F9QBUALMKO1 	These illustrations later found their place as shots in his most popular film.
2459_44 	A2HFASY1SVXPSP 	Along with Chidananda Dasgupta and others&#44; Satyajit founded the Calcutta Film Society in 1947
2459_45 	A2HFASY1SVXPSP 	As a member of this society he was exposed to many foreign films
2459_46 	A2HFASY1SVXPSP 	Throughout this time&#44; Ray continued to watch and study films seriously.
2459_47 	A2JPXAF2MC24F7 	During World War II&#44; he befriended the American soldiers staying in Kolkata and he collected information from them on new American Films reaching the city.
2459_48 	A2HFASY1SVXPSP 	He came to know a RAF employee&#44; Norman Clare&#44; who shared Ray&#39;s passion of films&#44; chess and western classical music
2459_49 	A2HFASY1SVXPSP 	In 1949&#44; Ray married Bijoya Das&#44; his first cousin and longtime sweetheart
2459_50 	A16IVTYAYSV3SA 	They gave birth to a son named Sandip Roy who is also a great film maker of the present time.
2459_52 	A16IVTYAYSV3SA 	Satyajit helped Renoir to find the locations in the villages.
2459_53 	A2JPXAF2MC24F7 	At that time&#44; Satyajit talked with Renoir about filming of &#39;Pather Panchali&#39; and Renoir encouraged him to proceed with the matter.
2459_54 	A16IVTYAYSV3SA 	In 1950 D.J. Kemer had sent Satyaji to work at their head office in London.
2459_55 	A2JPXAF2MC24F7 	During the three months of his stay in London&#44; Satyajit watched almost 99 films.
2459_56 	A2JPXAF2MC24F7 	Among them the Italian neo-realistic film &#39;Ladri di biciclette&#39; (&#39;cycle thief&#39;) influenced him deeply.
2459_57 	A3F9QBUALMKO1 	Later Satyajit told&#44; while coming out from the cinema hall after watching this movie&#44; he decided to be a film maker.
2459_58 	A3F9QBUALMKO1 	Years of Apu (1950-58)
2459_61 	A3F9QBUALMKO1 	The scene of large inquisitive eyes was repeated again and again in &#39; The Apu Trilogy&#39;.
2459_62 	A2JPXAF2MC24F7 	Satyajit decided that &#39;Pather Pancahli&#39; the classical &#39;Bildungsroman&#39; of Bengali literature would be the object of his first film.
2459_63 	A3F9QBUALMKO1 	This autobiography written by Bibhuti Bhusan Banerjee and published in 1928 was a story of growth from youth to adulthood of the Apu&#44; a Bengali village boy.
2459_64 	A3F9QBUALMKO1 	To make this film&#44; Satyajit gathered some inexperienced film technicians&#44; though later his cameraman Subrata Mitra and production designer Bansi Chandragupta became famous in their own fields.
2459_66 	AKZBNT298EBKI 	At the end of the year 1952&#44; Satyajit started shooting with his own money from his savings.
2459_67 	A3F9QBUALMKO1 	He was hoping that somebody would invest after watching these initial scenes.
2459_68 	A2JPXAF2MC24F7 	But no such financial help was available.
2459_69 	ADC8VBKOVOCRR 	Pather Panchaliwas shot over the unusually long period of three years&#44; because shooting was possible only from time to time
2459_70 	A2JPXAF2MC24F7 	Shooting was possible only when Satyajit or the Production Manager Anil Choudhury could collect the required money.
2459_71 	AKZBNT298EBKI 	At last&#44; in 1955 the production of the film was completed by taking loan from the West Bengal government&#44; and it was released the same year.
2459_72 	A2JPXAF2MC24F7 	Just after release the film got unequivocal appreciation of both the audience and the critics and won a number of awards.
2459_73 	A2JPXAF2MC24F7 	The film was shown for a long time both within and outside India.
2459_74 	AKZBNT298EBKI 	During production&#44; Satyajit did not honor any request of changing screenplay in exchange for money.
2459_75 	A2JPXAF2MC24F7 	Even he ignored a request from the Government of West Bengal for a happy ending (where at the end of the film&#39;s story Apu&#39;s family joined a &quot;development project&quot;) of the film.
2459_76 	A2JPXAF2MC24F7 	Reaction to the film in India was encouraging.
2459_78 	A2HFASY1SVXPSP 	In the United Kingdom&#44; Lindsay Anderson wrote a glowing review of the film.
2459_79 	A2JPXAF2MC24F7 	However&#44; not all the criticisms were so positive.
2459_80 	A2HFASY1SVXPSP 	Franois Truffaut is reported to have said&#44; &quot;I dont want to see a movie of peasants eating with their hands.&quot;
2459_81 	A2HFASY1SVXPSP 	Bosley Crowther&#44; then the most influential critic of The New York Times&#44; wrote a scathing review of the film that its distributor Ed Harrison thought would kill off the film when it got released in the United States&#44;
2459_82 	A2HFASY1SVXPSP 	but instead it enjoyed an exceptionally long run.
2459_83 	A2HFASY1SVXPSP 	Satyajit&#39;s international career started in earnest after the success of his next film&#44; Aparajito (The Unvanquished).
2459_84 	A2JPXAF2MC24F7 	In this film the traditional conflict between the ambition of young Apu and his mother&#39;s love has been portrayed in a heartbreaking manner.
2459_85 	A2HFASY1SVXPSP 	Many critics&#44; notably Mrinal Sen and Ritwik Ghatak&#44; rank it even higher than the first film.
2459_86 	A16IVTYAYSV3SA 	The film &#39;Aparajito&#39; won the Golden Lion award in Venice.
2459_87 	A2HFASY1SVXPSP 	Before the completion of The Apu Trilogy&#44; Satyajit completed two other films
2459_88 	A2HFASY1SVXPSP 	The first is a comedy named Parash Pathar (The Philosopher&#39;s Stone)&#44;
2459_90 	A16IVTYAYSV3SA 	When Satyajit was making the film &#39;Aparajito&#39; he did not think of making a trilogy&#44; but it came into his mind after hearing the questions from the journalists in Venice about this.
2459_91 	A2HFASY1SVXPSP 	The final installation of the series&#44; Apur Sansar (The World of Apu) was made in 1959
2459_92 	A3F9QBUALMKO1 	Like the other two movies&#44; this one was also claimed as the best film in these series ( Robin Wood&#44; Aparna Sen).
2459_93 	A3F9QBUALMKO1 	With this picture&#44; Satyajit&#39;s
2459_94 	A2HFASY1SVXPSP 	Satyajit introduced two of his favourite actors Soumitra Chatterjee and Sharmila Tagore
2459_95 	A2HFASY1SVXPSP 	The film finds Apu living in a nondescript Kolkata house in near-poverty
2459_96 	A3F9QBUALMKO1 	The marriage between Apu and Aparna happened in an unusual situation.
2459_97 	A3F9QBUALMKO1 	In different scenes of their life&#44;&quot;one of the cinema&#39;s classic affirmative depictions of married life&quot; was exposed&#44; but quickly tragedy followed.
2459_98 	A3F9QBUALMKO1 	A Bengali critic harshly criticized Apur Sansar&#44; and Satyajit wrote an article defending it which was a rare event in Satyajits film making career (another similar incident took place regarding his favorite film Charulata).
2459_99 	A3F9QBUALMKO1 	Success in his career did not affect his personal life.
2548_10 	A3PSUT241Y12MZ 	Side by side honoring talented students&#44;mathematics contest&#44;language competition etc.
2548_11 	A16IVTYAYSV3SA 	As an associate to Pratham Alo (the first light) there is job website &#39;Pratham Alo Jobs Dot Com&#39; and FM Radio&#44; Radio ABC.
2548_13 	A16IVTYAYSV3SA 	The Website of Pratham Alo
2548_14 	A16IVTYAYSV3SA 	The Print Copy Website of Pratham Alo
2548_15 	A2HFASY1SVXPSP 	Category: Bengali Newspapers
2548_16 	A2HFASY1SVXPSP 	Category: Bangladeshi Newspapers
2548_17 	A2HFASY1SVXPSP 	Category: Transcom
2636_10 	A3F9QBUALMKO1 	Object Oriented Programming
2636_11 	A2W9KNN58PGSF0 	Object Oriented Programming is a very important aspect of Java
2636_12 	A1ZAA9FM3OEIK5 	Though object oriented programming was introduced in the world of programming as Simula 67 (programming language) and Smalltalk (programming language)&#44; it fully flourished through Java.
2636_13 	A1ZAA9FM3OEIK5 	Besides making the job of writing very long program easier&#44; object oriented programming of Java also helped to make the task of debugging simpler.
2636_14 	A28YA9BQFLXOPT 	How does Java program work
2636_16 	A28YA9BQFLXOPT 	Infact it comes in a unique stage called byte stage which is found in class file.
2636_17 	A28YA9BQFLXOPT 	This class file cannot run directly.
2636_18 	A28YA9BQFLXOPT 	It runs with the help of Java Virtual Machine.
2636_19 	AZVAVU4OYMG2A 	Syntax or language formation
2636_20 	A2HFASY1SVXPSP 	The syntax of Java is largely derived from C++.
2636_21 	A2HFASY1SVXPSP 	It has syntax for structured&#44; generic&#44; and object-oriented programming like C++.
2636_22 	A2LG0SJYIUIRNC 	C++ is not a pure object oriented program but Java is a object oriented program.
2636_24 	A16IVTYAYSV3SA 	There is a separate language protocol for these in Java.
2636_25 	AKZBNT298EBKI 	It is to note that&#44; Array and String are not primitive data type&#44; they are reference data type and they are imported from java.lang.Object.
2636_26 	A2LG0SJYIUIRNC 	Ordinary/Primitive data type.
2636_42 	A2LG0SJYIUIRNC 	Subject:Programming language
2642_10 	A3F9QBUALMKO1 	At present she lives in Sweden.
2642_11 	A2HFASY1SVXPSP 	Her famous literary works are Lazza&#44; Amar Meyebela&#44; Dikhondito&#44; Gollachut etc.
2642_14 	A2HFASY1SVXPSP 	In 1982 she fell in love with poet Rudra Mohammad Shahidullah and fled home to marry him
2642_15 	A2HFASY1SVXPSP 	They divorced in 1986
2642_17 	A3F9QBUALMKO1 	In 1991 she got married to Mainur Mohammed&#44; editor of &quot;Saptahik Bichinta&quot; and got divorced in 1992.
2642_20 	A16IVTYAYSV3SA 	1994-2004&#44; Exiled in the West
2642_21 	A16IVTYAYSV3SA 	2004-2007&#44; Life in Calcutta
2642_22 	A16IVTYAYSV3SA 	2007&#44; Driven out from Calcutta
2642_25 	A16IVTYAYSV3SA 	Columns and Articles
2642_29 	A28YA9BQFLXOPT 	A list of books and essay
2642_31 	A28YA9BQFLXOPT 	Hunger in the Roots&#44; 1986
2642_33 	A28YA9BQFLXOPT 	I Couldn&#39;t Care Less&#44; 1990
2642_35 	A28YA9BQFLXOPT 	Game of the Girls&#44; 1992
2642_38 	A733OKTUS6NZE 	Poems from Exile&#44; 1996
2642_40 	A733OKTUS6NZE 	Feeling Empty&#44; 2004
2642_43 	A733OKTUS6NZE 	Dont you love me!
2642_48 	A28YA9BQFLXOPT 	Collection of Short Stories
2642_57 	A2HFASY1SVXPSP 	Oporpokkho (The Opponent)&#44; 1992.
2642_58 	A2HFASY1SVXPSP 	Shodh(Revenge)&#44; 1992 ISBN 978-81-88575-05-3
2642_59 	A2HFASY1SVXPSP 	Nimontron (Invitation)&#44; 1993.
2642_60 	A2HFASY1SVXPSP 	Phera (Return)&#44; 1993.
2642_61 	A2HFASY1SVXPSP 	Lajja&#44; 1993. ISBN 978-0140240511. Trans. in English as Shame.
2642_62 	A2HFASY1SVXPSP 	Bhromor Koio Gia (Tell Him The Secret)&#44; 1994.
2642_63 	A3F9QBUALMKO1 	Farasi Premik (French Lover)&#44; 2002
2642_64 	A2WEPQZ7UNOYYF 	Shame&#44; 2009
2642_77 	A28YA9BQFLXOPT 	Debate and Criticism
2642_78 	A2HFASY1SVXPSP 	The main features of Taslima&#39;s literary works is centered by personal and bodily desires
2642_79 	A3F9QBUALMKO1 	She is criticized by Bangladesh and the other countries for her writings as she targets Islamic priests&#44; Quran and Prophet Mohammad.
2642_80 	A3F9QBUALMKO1 	Leaders of some religious organisation announced the death penalty for her.
2642_81 	A2HFASY1SVXPSP 	Her personal explaination misinterpreting the Qur&#39;an and Hadith which are followed by Muslims created wrath among the Bangladeshi people.
2642_88 	A2HFASY1SVXPSP 	Category: Bengali poets
2642_90 	A2HFASY1SVXPSP 	Category: Bangladeshi article writers
2642_91 	A2HFASY1SVXPSP 	Category: Bengali article writers
2642_92 	A2HFASY1SVXPSP 	Category: Feminists
2730_11 	A28YA9BQFLXOPT 	After 1954 due to political disturbance and economical downfall the glory of this place decreased to some extent.
2730_12 	A3F9QBUALMKO1 	But from 2000 onward this city again starts gaining economic and commercial success and most of its lost glory is restored.
2730_13 	ADC8VBKOVOCRR 	Though the problem of poverty and environmental pollution due to urbanization is a major problem in Kolkata also just like the other cities in India.
2730_14 	ADC8VBKOVOCRR 	The fame of Kolkata is due to the revolutionary movement and long cultural tradition.
2730_15 	A35GMY72E6AKNS 	This city has played an important role in the Indian Independence Movement and the leftist movents of later period.
2730_16 	A16IVTYAYSV3SA 	On the other hand&#44; Calcutta has also been the pivotal point of the main and prominent cultural movements of the modern India.
2730_17 	A35GMY72E6AKNS 	For this reason Kolkata is called the Cultural Capital of India.
2730_18 	A28YA9BQFLXOPT 	This city is also called as the City of Joy as people of various language&#44; caste&#44; religion lives together over here with peace and harmony.
2730_19 	A35GMY72E6AKNS 	Kolkata is highly renowned for its great cultural heritage as the working place of Raja Rammohan Roy&#44; Rabindranath Tagore&#44; Ronald Ross&#44; Mother Teresa&#44; Satyajit Ray&#44; Sanyendranath Basu&#44; C. V. Raman&#44; Amartya Sen and so on.
2730_23 	A28YA9BQFLXOPT 	The Kalighat Temple was established in 1887 AD&#44; according to a   opinion from the word &quot;Kalikhetro&quot; the name &quot;Kolikata&quot; was born.
2730_25 	A16IVTYAYSV3SA 	Its Bengali name &quot;Kolkata&quot; and the English name &quot;Calcutta&quot; both have their origin from this name of &quot;Kolikata&quot;.
2730_26 	ADC8VBKOVOCRR 	There are conflicts among experts on the origin of the name Kolkata.
2730_27 	A2JPXAF2MC24F7 	According to one opinion the word &#39;Kolikata&#39; has originated from &#39;Kalikshetra&#39; which means the &#39;kingdom of Goddess Kali&#39;.
2730_28 	A2HFASY1SVXPSP 	Alternatively&#44; the name may have been derived from the Bengali term kilkila (&quot;flat area&quot;).
2730_29 	A2HFASY1SVXPSP 	Again&#44; the name may have its origin in the indigenous term for a natural canal&#44; Khal&#44; followed by Katta (which may mean dug).
2730_30 	A2HFASY1SVXPSP 	Another theory is that the place used to specialize in quicklime (kali chun) and coir rope (kt) and hence the place was called Kalikt
2730_31 	A31II4QBW2DURA 	Etymologist Sukumar Sen has given a complete different theory for the origin of the name &quot;Kalikata&quot;
2730_32 	A2HFASY1SVXPSP 	According to him:
2730_33 	A3F9QBUALMKO1 	The name Calcutta came from two Arabic words taken from Parsi - &#39;Qali&#39; means unrest or fool and &#39;Qatta&#39; means culprits or murderers.
2730_34 	A3F9QBUALMKO1 	This version of the name was very appropriate.
2730_35 	A31II4QBW2DURA 	Because the marshland and the jungles on the eastern side of the river Ganges was the hiding place for the pirates&#44; Dacoits and other local and foreign miscreants
2730_37 	A16IVTYAYSV3SA 	Some people have identified this alteration of the name of this city as an effort of wiping out the inheritance of the British origin of the city.
2730_38 	A2LG0SJYIUIRNC 	Many foreign media never accepted this change.
2730_39 	A16IVTYAYSV3SA 	But BBC has accepted the names &quot;Mumbai&quot; and &quot;Kolkata&quot; instead of &quot;Bombay&quot; and &quot;Calcutta&quot;.
2730_43 	A16IVTYAYSV3SA 	Fort William&#44; Calcutta&#44; painted by William Wood&#44; 1828 AD.
2730_46 	A16IVTYAYSV3SA 	The view of unloading of elephants from the ship of the then Calcutta&#44; from Herpers&#39; Weekly&#44; 1858 AD.
2730_48 	A16IVTYAYSV3SA 	The great festival of Durga Puja of the then Calcutta&#44; painted by William Princep&#44; 1890 AD.
2730_51 	A3F9QBUALMKO1 	Deshbandhu Chittaranjan Das&#44; famous freedom fighter and the first mayor of Kolkata.
2730_53 	A3F9QBUALMKO1 	Photo of Kolkata port taken from an aeroplane at the time of World War II&#44; 1985
2730_55 	A3F9QBUALMKO1 	Bodies of people killed in riots on the day of Direct action&#44; on the roads of Kolkata&#39;s 1846
2730_57 	A3PSUT241Y12MZ 	Statue of Lenin&#44;Calcutta:During the last part of twentieth century this city was the life center of the communist party of India.
2730_59 	A3PSUT241Y12MZ 	After archeological excavation in Chandraketugar &#44;near Calcutta it has been proved that this area was inhabited for  more than last two thousand years.
2730_60 	A3PSUT241Y12MZ 	In many books of the medieval Bengali literature&#44;the name of Kalicutta village&#44;beside the river Hugli was mentioned.
2730_61 	A3PSUT241Y12MZ 	Most notable among these are- Manasha bijoy Kabbo of Biprodas Piplai(writing period 1495 A.D.)&#44;Kabi Kangan Chandi of Mukundaram Chatterjee(writing period 1594-1606 A.D.)&#44;Padmabati of Syed Alaul(writing period 1645-52 A.D.)&#44;Kalika mangal of Krishanramdas(writing period 1676-77 A.D.)Vasha Vagabat of Shanaton Ghoshal(writing period 1679-80 A.D.)&#44;and Naradpuran of Krishnadas(writing period 1692 A.D.).
2730_62 	A28YA9BQFLXOPT 	According to the order of King Todromol the whole of Bengal was together annexed and named after Wallis-e-joma Tuma
2730_63 	A3PSUT241Y12MZ 	The name of &quot;Kalicutta&quot; village was mentioned in this list as appeared in the book Ain-I-Akbar written by Abul Fazal.
2730_64 	A3F9QBUALMKO1 	Apart from that the name of Kolkata village is also mentioned in a Persian book&#44; Riyaz-us-Salatin written by Ghulam Hussain in 1786.
2730_65 	A2JPXAF2MC24F7 	In 1690 the British East India Company came to this area to expand their business in Bengal.
2730_66 	A28YA9BQFLXOPT 	From this time onwards starts the written history of Kolkata City.
2730_67 	A3F9QBUALMKO1 	Imperialistic historians think that Job Charnock&#44; an administrator with the Company was the founder of Kolkata.
2730_68 	A3F9QBUALMKO1 	However modern researchers have recently confuted this opinion.
2730_69 	A16IVTYAYSV3SA 	In a Public Interest Litigation (PIL) suit of 2003&#44; the Calcutta High Court had clearly directed that no specific person should have been regarded to the founder of the city of Calcutta.
2730_71 	A16IVTYAYSV3SA 	In the latter half of the 7th century AD the region of Calcutta was divided into three villages named Sutanuti&#44; Gobindapur and Dihi Kolikata.
2730_72 	A16IVTYAYSV3SA 	Those three villages were under the direct control of the Nawab (king) of Bengal.
2730_73 	A3F9QBUALMKO1 	At this time the British officials planned to build a fort in Gobindapur to defeat their contestant powers&#44; the Dutch&#44; the Portuguese&#44; and the French.
2730_74 	A3F9QBUALMKO1 	The construction of Fort William was completed in 1702.
2730_75 	A3F9QBUALMKO1 	This fort was an army base as well as a regional headquarter.
2730_76 	A16IVTYAYSV3SA 	Calcutta was declared as the &quot;Presidency City&quot; and later became the headquarter of the Bengal Presidency.
2730_77 	A2JPXAF2MC24F7 	At this time&#44; conflicts between the French and the British occurred frequently.
2730_78 	A2JPXAF2MC24F7 	In 1756 the British started renovation of Fort William to inhibit the French.
2730_79 	A3F9QBUALMKO1 	Though the then emperor of Bengal&#44; Siraj-Ud-Daulah made an objection to this&#44; the British officials did not take it seriously.
2730_80 	A28YA9BQFLXOPT 	After that Siraj attacked on Kolkata and occupied the Fort and detained the Englishmen from Kolkata.
2730_81 	A2JPXAF2MC24F7 	Immediately afterwards the British made the infamous propaganda of &#39;Black Well Murder&#39;.
2730_83 	A2JPXAF2MC24F7 	In 1772 Kolkata was declared the capital of British India.
2730_84 	A3F9QBUALMKO1 	Later from 1864&#44; the practice of temporarily relocating the capital to the hill city Simla of Uttartakhand in the summer season was begun.
2730_85 	A2JPXAF2MC24F7 	In the beginning of 19th century marshes around Kolkata were filled up.
2730_86 	A3F9QBUALMKO1 	Government Place or Office Para was established in the littoral area of Hooghly River
2730_87 	A16IVTYAYSV3SA 	During the rule of Lord Wellesley (Governor General 1797-1805) there had been a considerable growth of cities.
2730_88 	A3F9QBUALMKO1 	During his time construction of many government buildings was started.
2730_89 	A3F9QBUALMKO1 	The beautiful architecture and the huge structure of these buildings gave Kolkata a new name as &quot;Prasad Nagari&quot; or City Of Palaces&quot;.
2730_90 	A16IVTYAYSV3SA 	Calcutta was also the center of opium trading of the British East India Company in the 18th and 19th century.
2730_91 	A16IVTYAYSV3SA 	Locally cultivated opium were all auctioned in Calcutta and then they were shipped to be transported to China.
2730_92 	A16IVTYAYSV3SA 	The Renaissance of Bengal
2730_93 	A16IVTYAYSV3SA 	In the beginning of the 19th century the city of Calcutta was divided into two parts.
2730_95 	A2HFASY1SVXPSP 	The city underwent rapid industrial growth from the 1850s&#44; especially in the textile and jute sectors;
2730_96 	A16IVTYAYSV3SA 	As a result of this the British government had invested a huge capital in the infrastructure development projects like the projects of rails and telegraphs.
2730_97 	A3KUMU0O6YW08U 	DUE TO THE CULTURAL EXCHANGE AND MIXING UP OF BRITISH AND INDIAN CULTURE&#44; A NEW CATEGORY OF HIGH CLASS BENGALI HIGH CLASS PEOPLE EMERGED IN THE BENGALI SOCIETY.
2730_98 	A2JPXAF2MC24F7 	These babus were mainly upper caste Hindus&#44; educated in English and readers of newspapers.
2730_99 	A3F9QBUALMKO1 	By occupation they were Land owners&#44; Government employees and Teachers.
3043_10 	A2HFASY1SVXPSP 	There is such a misconception that open source software is only developed by volunteers.
3043_11 	A3F9QBUALMKO1 	It is true that most of the open source softwares are made by volunteers&#44; but there are exceptions to this.
3043_13 	A1D39ISETGHJB 	Software service means customization of the software&#44; development&#44; selling instruction manual and providing training&#44; etc.
3043_14 	A16IVTYAYSV3SA 	The most successful open source company is perhaps Red Hat.
3043_15 	A16IVTYAYSV3SA 	Among the renowned institutions who provide open source services are: I.B.M.&#44; Sun Microsystems etc.
3043_17 	A2LG0SJYIUIRNC 	Open source org website.
34310_3 	A28YA9BQFLXOPT 	Wikimedia Foundation (San Francisco)
34310_4 	A3F9QBUALMKO1 	Wikimedia Foundation is an international non-profit organization.
34310_5 	A28YA9BQFLXOPT 	Its main office is in San Francisco&#44;California in USA.
34310_6 	A3F9QBUALMKO1 	This organisation was initially started in Florida and organized under the laws of the state of Florida.
34310_8 	A16IVTYAYSV3SA 	Among these there are: Wikipedia&#44; Wiktionary&#44; Wikiquote&#44; Wikibook (along with Wikijunior)&#44; Wikisource&#44; Wikicommons&#44; Wikispecis&#44; Wikinews&#44; Wikiuniversity&#44; Wikimedia Incubator and one of the main projects among these is the English Wikipedia which is one among the 10 most visited sites of the world.
34310_9 	A3F9QBUALMKO1 	On June 20&#44; 2003 the formation of the foundation was officially announced by Wikipedia co-founder Jimmy Wales&#44; who had been operating Wikipedia under the guidance of Bomis Company.
3502_10 	A16IVTYAYSV3SA 	In the ancient times human beings would use oyster&#44; pebbles&#44; knots on a rope etc to express numbers.
3502_11 	A2JPXAF2MC24F7 	Afterwards&#44; though different techniques and machines were used for computations&#44; Abacus&#44; an old calculating device&#44; is recognized as the first such machine in the history of computers.
3502_12 	A16IVTYAYSV3SA 	Hence&#44; the history of computer starts from the abacus.
3502_13 	A28YA9BQFLXOPT 	Abacus is a machine in which beads are moved in the frame in order to do calculation.
3502_14 	ADC8VBKOVOCRR 	It was originated as a calculating tool in Egypt/China in 450/500 BC.
3502_15 	A16IVTYAYSV3SA 	In 1617 the mathematician of Scotland John Napier introduced  printed and crossed marked sticks for counting.
3502_16 	A3F9QBUALMKO1 	These rods are known as Napier&#39;s bones.
3502_18 	A16IVTYAYSV3SA 	He introduced the method of addition or subtraction through gears or wheels with nails.
