54_0 	AVWWDENWU115I 	See Hindi&#39;s entrance door also:
2646_12 	A2OCN0KL27QMTP 	Private Mobiles phone system and modem used in Japan around 1997-2003&#44;Motorola TAC&#44; was the first mobile phone to be approved by the FCC in United States.n 1984&#44; Bell Labs developed modern commercial cellular technology (most of Gladden&#44; Parelman patent based)&#44; which contain multiple center base stations (cell sites) to be employed&#44; each used to service a small area (a cell). Cell sites were installed in such a way that the cells used to partially overlap. A cellular system&#44; a base station (cell site) and a terminal (phone) between the signal should only be so strong that it could reach between the two points&#44; in order to separate the different calls and use the same channel together.
2646_14 	A2OCN0KL27QMTP 	Digital 2G (second generation) cellular technology was first &quot;modern&quot; network technology launced in Finland in 1991&#44; Radiolinja (now part of Elisa Group) was launched based on the GSM standard&#44; which marked the introduction of mobile telecommunications in the competition when the incumbent Radiolinja challenged Telecom Finland (now part of Teliasonera)  which was running a 1G NMT network.
2646_15 	A2OCN0KL27QMTP 	The first data services appeared on mobile phones from person to person text messages in 1993. First test on a mobile phone  for payment was done for a Coca Cola machine in Finland in 1998. Sweden conducted the first Mobile parking trials. The first commercial payment system was first launched in Norway in 1999. Mimic Banks first commercial payment system for credit cards in the Philippines began in 1999 with mobile operators Globe and Smart. The first content sold to mobile phone was a ring tone&#44; which was introduced in Finland in 1998. i-mode on mobile phones was the first full Internet service in Japan by NTT DoCoMo which was introduced in 1999.
2646_16 	A2OCN0KL27QMTP 	In 2001 first commercial launch of 3G3G (third generation)  was done in Japan by NTT DoCoMo with the WCDMA standard.
2646_17 	A2OCN0KL27QMTP 	In 1990 &#44; after the start of the Motorola Micro TAC &#44; all mobile phone jacket pocket to take were big&#44; so they were usually used as vehicles car phones. Digital components&#44; miniature and more sophisticated With the development of batteries&#44; mobile phones have become smaller and lighter.
2646_22 	A1CWCJ8MKSQHPI 	An encrypted circuit board inside the mobile telphone.
2646_23 	AL9K2BNO4E0F4 	There are many types of mobile phones&#44; starting from the basic phone to the metamorphised phone like the musical phone and camera phone and smartphone. Nokia 9000 Communicator was the first smartphone which came in 1996&#44; and in which PDA technology was incorporated to face the then competition from other mobile phones. Many features to use miniaturisation and improved processing capability of the microchip were added&#44; expanded the concept of smartphone &#44; and a superior smartphone of five years ago&#44; is today a standard phone.  For a market segement&#44; many series of phones were introduced&#44; like RIM Blackberry centred / focussing on the business of need of email for the corporate customers; Musical phones of Sony Ericman&#39;s Walkman Seriesand camera phones of Cybershot Series; Multimedia phones of Nokia&#39;s N-Series; and Apple iPhone&#44; which presents all the specialities of web usage and multimedia technology.
2646_26 	AL9K2BNO4E0F4 	In some phones&#44; touch screens are incorporated.
2646_27 	A1CWCJ8MKSQHPI 	Music&#44;downloading pictures&#44;video games&#44;entertainment&#44; gambling and video/television are popular attractions among mobile services
2646_28 	A1CWCJ8MKSQHPI 	Nokia and Cambridge university have claimed to have developed an ideal cellphone&#44; which is called &quot;Morph&quot;.
2646_46 	AL9K2BNO4E0F4 	In the past&#44; Nickel metal-hydride was the most common form of the batteries of the mobile phones&#44; because its shape and weight are less.  Lithium ion-batteries were used now and then because of their light weight&#44; and voltage loss is not there like in the nickel metal-hydride batteries.  Many manufacturers of mobile phones started using&#44; in place of the old lithium-ion batteries&#44; lithium polymer batteries&#44; because in addition to being of low weight and density&#44; their main advantage is that they can be made in any other shape.  Manufacturers of mobile phones are experimenting with alternative energy sources&#44; including the solar cells.
2646_49 	AL9K2BNO4E0F4 	In common mobile phones&#44; SIM card. For using the GSM mobile phone&#44; along with the battery&#44; a small microchip is necessary&#44; which is called the Subscriber Identity Module or SIM card.  Of apporximately the shape of a postal stamp&#44; the SIM card is kept below the battery at the back of the phone unit&#44; and (when acive in the correct way)it contains the data of the settings of the phone and the know-how details of the phone&#44; like what hosting plan the subscriber is using.  When the user removes the SIM card&#44; he can put it into a second phone and use it again as usual.
2646_50 	AL9K2BNO4E0F4 	Every SIM card is activated by using an uniquely numbered user identification; once activated&#44; identification is locked and in the active network gets connected indelibly.  For this reason&#44; most retail sellers refuse to to take back an activated SIM card.
2646_52 	AL9K2BNO4E0F4 	MSL ensures that the service provider gets payment for the phones purchased or taken on lease.  For example&#44; the price of Motorola RAZR V9C is more than that of CAD 00.  In about 00&#44; depending on the carrier&#44; you can get one.  The difference is paid in the form of the monthly bills from the customer.  If the customer has not used one MSL&#44; then he loses the difference of 00 - 00&#44; which will be settled in his monthly bills&#44; because some customers cancel their present service and go to a second carrier for taking a phone.
2646_53 	AL9K2BNO4E0F4 	NSL is put on the SIM&#44; only because of this once it is locked&#44; even after the agreement&#44; it still is there on the SIM.  Even though&#44; MSL is locked in the beginning itself by the manufacturer.  This lock can be made ineffective&#44; so that the phone can be used with the SIM card of other service providers.  Phones purchased outside America are open phones because there for most phones&#44; many service providers are close or wide spread.  The expenses to unlock the phones are different but on an average very cheap and are sometimes offered by the independent phone sellers.
2646_54 	AL9K2BNO4E0F4 	When away from the usual coverage area&#44; an open phone to the travelling users is of immense convinience.  Service provider has to charge extra to provide service to them&#44; and MSL is useful in such situation.  This additional expense for an international call can be 10 times more compared to the calls from the phone without roaming&#44; even after discounts.  According to the FAQ&#44; T-Mobile gives a code to its subscribers to open a SIM after 90 days of stable use.
2646_55 	AL9K2BNO4E0F4 	For example&#44; in Jamaica&#44; a AT&amp;T customer opted for an international service. Additional payment of 65 per minute can be made&#44; whereas a B-Mobile (Jamaica) customer has to pay for an equivalent international service /bin/sh.20 for every minute.  Some service providers focus on international sales&#44; whereas some others on regional sales.  For example&#44; The National Phone Company of Jamaica&#44; Cable and Wireless (C&amp;W) Company&#39;s position is that the same B-phone customers spend less on local calls and more on international calls.  This difference is mainly because of the currency conversion&#44; because SIM card is purchased in local currency.  In America&#44; there is no competition for such services because some prominent service providers do not offer settle-when-you-quit service.  [settlement-when-you-quit requirements Reference&#44; T-Mobile Report&#44; Offer to Verizon One&#44; AT&amp;T not till 12/2008]
2646_58 	A3T5285F7WI9HT 	Nokia was the largest mobile phone manufacturer in third quarter of 2008 with 39.4% market share followed by Samsung with 17.3%&#44;Sony Ericsson with 8.6%&#44;Motorola with 8.5% and LG Electronics with 7.7%.These manufacturers sold 80% of the mobile phones at that time.
2646_61 	ADC8VBKOVOCRR 	In 1998 mobile phone became media channel when first ringtone sold by Radiolinja in Finland. Soon other media content appeared such as news&#44; videogames&#44; jokes&#44; horoscopes&#44; TV content and advertising. In 2006 total value of mobile phone paid media content exceeded internet paid media content and was worth 31 Billion dollars (Source Informa 2007). In 2007 music value on the phone was worth 9.30 Billion dollars while gaming value was worth 5 Billion dollars (Source Nersize Guide 2008).
2646_62 	AL9K2BNO4E0F4 	Mobile phone is actually considered the fourth screen (if we count as the first three screens cinema&#44; TV ad PC screens) or it is the third (if we count as the first two&#44; TV and PC screens).  This is also called the seventh in the mass media (first six being print&#44; recording&#44; cinema&#44; radio&#44; TV and internet).  The beginning limbs of the mobile phone are the copies of legacy media&#44; like banner advertisements or video clips of TV news.  Recently&#44; unique limbs are developed for the mobile&#44; starting from ring tones and return ring tones to &quot;mobisode&quot;&#44; video programs designed to be viewed on mobile phones.
2646_67 	ADC8VBKOVOCRR 	A type of telephone which can be permanently mounted&#44; these often have more powerful transmitters&#44; there is an external antenna and loud speaker for hands free use. Similar to mobile phone&#44; car phones are connected to network.
2646_69 	AA4XJ5YP5SLN2 	Wireless phones are such phone which does not have wires conected to each other phones but it has small radio handsets. these are interconnected by mean of waves with the help of radio stations.Its technology is different from Mobiles.
2646_71 	AA4XJ5YP5SLN2 	High Quality mobile is different from Wireless phones. It uses IDEN Technology whereas European Technology uses TETRA
2646_75 	AA4XJ5YP5SLN2 	These type of phone are receives information from artificial satellites which is transmitted to radio station of other planet. With its help we can cover huge area but its very costly. Its mainly used by deep low places&#44; very high places where land line&#44; mobile coverage is not permittd
2646_77 	AA4XJ5YP5SLN2 	Cell Phone Novel is the first book on Cell phones&#44; which gives full detials of cell phone whcih can be seen in website.Paul Levinson (2004) informed in website that today a writter can easily write his wishes / idea anywhere in web whcih is accesalbe to all / millions of people
2646_79 	A2CM1RPNTAVTH 	Cell phones have numerous privacy issues&#44; and were used for regular monitoring by governments
2646_80 	AL9K2BNO4E0F4 	In U.K. and in United States of America&#44; technologies exist with the secret services and judicial services which can be activated by microphone&#44; so that the conversation going on around the person with the phone can be listened into.
2646_81 	A2CM1RPNTAVTH 	Mobile phones are also commonly used to collect location data. While the phone is turned on&#44; the geographical location of a mobile phone can be determined easily (whether it is being used or not)&#44; using a technique known multilateration to calculate the differences in time for a signal to travel from the cell phone to each of several cell towers near the owner of the phone
2646_84 	A2CM1RPNTAVTH 	Cellular phones have been widely available only recently&#44; whereas tumor growth can take decades&#44; for this reason&#44; some health officials asked for Precautionary principle to be inspected&#44; it recommends that access and proximity to the head should be less&#44; especially by children
2646_86 	A2CM1RPNTAVTH 	Mobile phones and other electronic products have high quality capacitors&#44;which includes Tantalum&#44; Tantalum is a major source of ore of Colton which in illegal mines are operated by rebel groups  in Democratic Republic of the Congo to bring money to fund civil war. Tantalum is 40 mg in a typical mobile phone. near perth in australia near Pialbra area is open source of titanium in Vodgina mine
2646_92 	AYDB3VGUW1ESM 	List of Number of Mobile phone users
2646_97 	A2CZ912KHO36TI 	Developement for information and communication
27335_3 	A1IBD16JNAIVDB 	Sarojini Naidu with Mahatma  Gandhi
27335_4 	A3NOO9K3CY1YU5 	Sarojini Naidu (February 13&#44; 1879 - March 2&#44; 1949) was born in the city of Hyderabad in India.
27335_5 	A3NOO9K3CY1YU5 	Her father Aghoranath Chattopadhyay was a well-known scholar and mother was a poet who wrote in Bengali.
27335_7 	A3NOO9K3CY1YU5 	In 1895&#44; she went to England  for further studies where she continued writing poems.
27335_8 	A3NOO9K3CY1YU5 	Golden Threshold was her first collection of poems.
27335_9 	A1N3V8W0Y0CQ3 	Her second and third collections of poems named &#39;The Bird Of Time&#39; and &#39;The Broken Wings&#39; made her a famous poetess.
2798_14 	A12T8G7H6WN13A 	There are ten important incarnations of Vishnu
2798_15 	A17C2H9W3EL9YD 	These avtars are presented respectively.
2798_16 	A3GI3466NOP5HJ 	1) Fish form : in this form&#44; Vishnu asked a saint to unite all the animals and while the earth was drowning in water&#44; in his fish form&#44; he protected the saint&#39;s boat.
2798_17 	A3GI3466NOP5HJ 	during this period&#44; Brahma created life.
2798_19 	A12T8G7H6WN13A 	2) Tortoise Incarnation: Lord Vishnu incarnating himself as a tortoise allowed the Mandar mountain to be kept on shell  to facilitate the churning of the Milk ocean.
2798_20 	A9YS2FWO4UV7G 	In this way&#44; with the help of God Vishnu&#44; Mandar mountain and a great snake named Vasuki&#44; the Gods churned the ocean and obtained the fourteen Jewels.
2798_21 	A12T8G7H6WN13A 	At this time Lord Visnhu also disguised himself as Mohini.
2798_23 	A3NOO9K3CY1YU5 	3) Varaha incarnation(Boar form): In Varaha incarnation&#44; Lord Vishnu went into the ocean and rescued Mother earth who had gone down in the ocean.
2798_25 	A12T8G7H6WN13A 	4) Man Lion Incarnation: Incarnating himself as a Man Lion Lord Vishnu protected his devotee Prahalad and  also killed his father Hirnyakashyap.
2798_26 	A9YS2FWO4UV7G 	In this avatar&#44; we learn about his formlessness.
2798_27 	A12T8G7H6WN13A 	5) Dwarf Incarnation: In this incarnation Lord Vishnu manifests himself as a Dwarf.
2798_29 	A9YS2FWO4UV7G 	6) Parshuram avatar: In this form&#44; God Vishnu killed several demons.
2798_31 	A3P2WQO8VESWF2 	Lord Vishnu took the form of Srikrishna and was born in the house of Devaki and Vasudev.
2798_32 	A3P2WQO8VESWF2 	He was brought up by Yashoda and Nanda.
2798_33 	A3P2WQO8VESWF2 	The detailed description of this incarnation is available in ancient book ShrimadBhagavatham.
2798_34 	A3P2WQO8VESWF2 	9)Buddha incarnation: In this Lord Vishnu appeared in the form of Buddha to impart vedic education to demons.
2798_37 	A3P2WQO8VESWF2 	Vishnu&#44; Narayan&#44; Krishna&#44; Vaikund&#44;Vishtreshvas&#44;Damodar&#44; Hrishikesh&#44; Keshav&#44; Madhav&#44;Swayambhoo&#44;Daithyari&#44; Pundarikaksh&#44; Govind&#44; Garudadwaj&#44; Peethambar&#44;Achyuth&#44; Shaadgi&#44;Vishwaksen&#44;Janardhan&#44; Upendra&#44; Indravaraj&#44;Chakrapani&#44;Chathurbhuj&#44; Padmanabh&#44; Madhuripu&#44;Vasudev&#44;Trivikram&#44; Devaki Nandan&#44; Showri&#44; Shripathi&#44; Purushotham&#44; Vanamali&#44;Balindvasi&#44;Kamsarati&#44;Adwokshaj&#44;Vishwambar&#44;Kaitbhajith&#44; Vidhu and Shwasthlachan&#44; these are 39 names of Vishnu.
2798_38 	A3NOO9K3CY1YU5 	Vishnu&#39;s Conch is called &#39;Panchajanya&#39;&#44; his Discus is called &#39;Sudarshan&#39;&#44; his mace is called &#39;Koumodakee&#39;&#44; Sword is called &#39;Nandak&#39; and his gem is called by the name &#39;Koustubh&#39;.
28539_3 	AA4XJ5YP5SLN2 	2nd world war caused a lot of Air pollution
28539_4 	A2HYN509OGM53T 	See the Italian film  of 1980 &#39;Contamination&#39; for science fiction and horror.
28539_5 	AA4XJ5YP5SLN2 	Pollution is caused due to impure elements mixed in the atmosphere which is harmful to all creatures of world and is major cause of worry for them
28539_7 	A2GGFBEGFXJFRS 	Sometimes stabling the situation for complete sense of pollution can have dangerous parts. For instance water is a natural drink and is a need of life but on excess consumption it can turn to be a pollutant. If some person drinks water excessively it can put a lot of weight on his physiology and can result into death. Other example is that excessive pollution can distort the mental stability of a person which can result into problems for the body activities ans psychosis; this has been used in wars as a weapon.
28539_9 	AL9K2BNO4E0F4 	Pollution control is used in environmental management.  Its meaning is control of emissions and effluents into air&#44; water and earth.  If pollution control is not done&#44; waste generated in circulation&#44; atmospheric heat&#44; agriculture&#44; mining&#44; manufacturing&#44; transport and other human endeavours&#44; whether accumulated in one place or spread all over&#44; can harm the environment.  In the heirarchy of pollution prevention and waste minimization&#44; pollution control is the most desired.
28694_0 	AA4XJ5YP5SLN2 	Based on numerology and astrology a persons horoscope is prepared after many calculation by pandits. Its also called as janmpatri in hindi&#44; kundli is classified as 12 sections. As circle has 360 degree so kundli&#39;s total area 360 degree is divided into 12 parts so each part have 30 degree&#44; these small parts of 30 degree is called as rashi (horroscope). these 12 rashis are called by different name in different languages. According to Indian Vedas and Sanskrit rashis are as follows:- Mash&#44; Vrash&#44; Mithun&#44; Kark&#44; Singh(Loe in English)&#44; kanya&#44; tula&#44; Wrashak&#44; Dhanu&#44; Makar&#44; Kumb&#44; Meen. 1st rashi is also called as No. 1 asand so the numbering occurs. accordingly human body is also divided into 12 parts as per 360 degree base in Indian Kundli
29066_0 	A1ZYNAB4UPQ1UF 	Navbharat Times is a leading Hindi daily news paper.
29066_1 	AVWWDENWU115I 	This newspaper is circulated in Delhi and Mumbai|
2908_10 	A1ZYNAB4UPQ1UF 	These are the oldest known books in the history of world literature.
2908_11 	A3P2WQO8VESWF2 	In order to identify the basic form of Aryan languages&#44; Vedic languages have proved to be of great help.
2908_12 	A1ZYNAB4UPQ1UF 	Scientific nature of vedic literature.
2908_15 	A3P2WQO8VESWF2 	1.Rigveda&#44; 2. Yajurveda 3. Samaveda and 4. Adharvaveda
2908_16 	A1ZYNAB4UPQ1UF 	These four vedas were not separated before the end of Dwapar Yuga or era.
2908_17 	A3P2WQO8VESWF2 	In that period a combination of the sound-script of Rig&#44;Yaju and Sama&#44; a special sound-collection which could be learned was called veda.
2908_19 	A1CWCJ8MKSQHPI 	There are definite rules for the number of alphabets and punctuations in the prose.
2908_20 	A1CWCJ8MKSQHPI 	The term &quot;Ruk&quot; is used to denote the number of alphabets and punctuations marks.
2908_21 	A1CWCJ8MKSQHPI 	Those mantras (series of verses) in which the number of alphabets and punctuation marks do not follow the rules are called &quot;Yajuhu&quot;.
2908_22 	A1CWCJ8MKSQHPI 	Those which can be sung&#44; are termed as &quot;Saam&quot;.
2908_24 	A1CWCJ8MKSQHPI 	In the reading and learning of the vedas&#44; it is of vital importance that it is heard from the Guru&#44; learnt and defended at all costs.
2908_25 	A1CWCJ8MKSQHPI 	This is the reason why the vedas are also called &quot;Shrutis&quot;. (that which is heard)
2908_26 	A3T5285F7WI9HT 	Vedas are learned through hard work so that is why they are also known as Amarya.
2908_27 	A1CWCJ8MKSQHPI 	At the end of the Dwaparyug&#44; Ved Vyas performed a series of Yagnas and divided the vedas into four parts. He taught one to each of his disciples.
2908_29 	A1O9BHBJKVI5PS 	Named Pail&#44; Vaishampayam&#44; Gemini and Sumantu - these four disciples taught Shakal&#44; etc. and their different students.
2908_30 	A1O9BHBJKVI5PS 	Because of the dissemination and protection of the Vedas under them by these disciples&#44; those branches are becoming well-known in their names.
2908_31 	A1O9BHBJKVI5PS 	Classification of &quot;Karmakand&quot; (Ritual)
2908_32 	A12T8G7H6WN13A 	The primary aim of the Vedas is to give spiritual knowledge.
2908_34 	A1O9BHBJKVI5PS 	The initial part of the Vedas is karmakand (ritual) and it is bigger than the dynanakand (knowledge) part.
2908_35 	A1O9BHBJKVI5PS 	The authoritative scholars of the Vedas who have been given the right to perform the &quot;yadnya&quot; (ritual of fire sacrifice) by the client are called &quot;Ritwik&quot;.
2908_36 	A1O9BHBJKVI5PS 	There are four &quot;gana&quot;s (genera) of these &quot;Ritwik&quot;s in &quot;Shroutyadnya&quot;.
2908_37 	A1O9BHBJKVI5PS 	(1) Hotrugana&#44; (2) Adhvaryugana&#44; (3) Udgatrugana and (4) Brahmagana.
2908_39 	A1ZYNAB4UPQ1UF 	(1)Rugveda- It is a collection of Mantras (incantations) that are useful for the performers of Vedic rituals.
2908_40 	A1ZYNAB4UPQ1UF 	Majority of the Mantras in it are &#39;Ruk&#39; (meaning verses)&#44; hence it got the name &#39;Rugveda&#39;.
2908_41 	A1ZYNAB4UPQ1UF 	It also contains some Mantras in prose form (yajuh) that are useful for the ritual-performers.
2908_42 	A1CWCJ8MKSQHPI 	(2)Yajurveda-This contains mantras useful for performing fasts and penances.
2908_44 	A1CWCJ8MKSQHPI 	This also contains mantras useful for recitation.
2908_45 	A1ZYNAB4UPQ1UF 	Yajurveda is divided in two parts- Shukla Yajurveda (former half) and Krushna Yajurveda (latter half)
2908_46 	A1CWCJ8MKSQHPI 	(3)Saamveda-This contains mantras for actions to be performed after the penance and fasts.
2908_47 	A1ZYNAB4UPQ1UF 	It contains those mantras that have a definite style of music or recitation (psalms)&#44; hence it is called Samaveda.
2908_49 	A3R0SD14UE0QQW 	The meaning of Atharva is to correct by removing deficiencies or to make clear from deficiencies.
2908_50 	A21SQXRIC135J6 	Therefore it also has Yagya-related and person-related improvements and shortcoming-removing Mantras too.
2908_51 	A3R0SD14UE0QQW 	It has mantras in poems and literature.
2908_52 	A21SQXRIC135J6 	The naming of this Veda is not according to word-style&#44; like other Vedas&#44; but is according to its subject.
2908_54 	A2HYN509OGM53T 	Therefore its name is Atharvaveda.
2908_56 	A21SQXRIC135J6 	In the structure of the Vedas&#44; horizontal and vertical lines are made around words to instruct and put them in the high&#44; medium&#44; or low musical tones.
2908_57 	A21SQXRIC135J6 	These are mentioned by naming them as Uddat&#44; Anuddat&#44; and Swarit .
2908_60 	A3NOO9K3CY1YU5 	The original portion of Veda mantras (hymns) are known as Samhita (or Compilation).
2908_61 	A3NOO9K3CY1YU5 	Rig veda (this contains the mantra (hymn) for invoking deities - this is the first of all Vedas) (this Veda is meant mainly for saints and sages).
2908_62 	A3NOO9K3CY1YU5 	Saam veda (this has musical mantras (hymns)which are sung during Havans)(this Veda is mainly meant for Gandharvas or heavenly musicians)
2908_64 	A3NOO9K3CY1YU5 	Atarva Veda (this has mantras for magic&#44; tricks&#44; health&#44; havan) (this is mainly meant for merchants).
2908_67 	A3NOO9K3CY1YU5 	Except the first part (Samhita or Compilation&#44; each part has  explanation or commentary at three places.
2908_70 	A12T8G7H6WN13A 	Bramhana Books (Discussion in prose about topics on rituals)
2908_71 	A12T8G7H6WN13A 	Forest Books (The purpose behind rituals)
2908_72 	A12T8G7H6WN13A 	Upanishads ( A higly philosophical and intellectual description about God&#44; God and Bramhan&#44; nature of Soul and its relationship with God)
2908_74 	A12T8G7H6WN13A 	All others books are called Smrtis
2908_76 	ADC8VBKOVOCRR 	According to modern ideology &#44; the style of description of Vedas reflects three different view points
2908_81 	AFD2H8FZGWTBE 	According to this religious ceremony of oblation as per vedas is considered as the main utilization of Veda&#39;s words.
2908_82 	A17C2H9W3EL9YD 	Since the begining of this universe different styles of mantroccharan(pronouncing mantras)&#44; mantrakshar (Mantra words) and karma vidhi(method of doing) existed in performing yagnas.
2908_84 	A17C2H9W3EL9YD 	As 21 parts of Rugvedh&#44;101 parts of Yajurvedh&#44; 1000 parts of Saamvedh and 9 parts of Atharvavedh- like this there are total 1131 parts.
2908_85 	AFD2H8FZGWTBE 	This number has also been mentioned by Maharishi Patanjali in his Mahabhashya.
2908_86 	A17C2H9W3EL9YD 	Currently only 12 parts are available in holybooks out 1131 appropriate parts.
2908_87 	AFD2H8FZGWTBE 	Out of 21 branches of Rigaveda&#44; the treatise of only two branches available-
2908_90 	A1BWPOQ8MMNQWX 	There are only books from four branches available from among the the 86 branches of Krishnayajurveda of Yajurveda.
2908_95 	A1BWPOQ8MMNQWX 	from among the 17 branches of suklayajurvedh books of only 2 branches are available.
2908_99 	ATPPRQUCVHWZH 	Kauthumi Branch and. (Kauthumi is a branch of Samved)
3046_11 	AYDB3VGUW1ESM 	The festival of holi begins with &#39;Basant Panchami&#39;
3046_12 	A2CSX5G96MCRHK 	On this day red powder which people throw on each other is being flowed on air.
3046_13 	A3GI3466NOP5HJ 	from this day onwards&#44; songs about Phalgun are sung.
3046_14 	A3GI3466NOP5HJ 	the fields blossom with mustard.
3046_16 	A2IZPICYIBNNXL 	nature&#44; animals and humans live in harmony
3046_17 	A2IKFQQ6A9JVIT 	The crop of wheat is dancing with the breeze.
3046_18 	A2IKFQQ6A9JVIT 	The farmers are happy in anticipation of a good harvest.
3046_19 	A2IKFQQ6A9JVIT 	Old and young all give up all inhibition and dance to the beats of the drum.
3046_22 	A2IKFQQ6A9JVIT 	Holi is an ancient festival of India&#44; which was earlier also known as Holika.
3046_23 	A2IKFQQ6A9JVIT 	Since it falls in Spring (Vasant) it as aptly called Vasantutsav
3046_27 	A2IKFQQ6A9JVIT 	Radha - Shayam and Gopis paying Holi.
3046_29 	A2OCN0KL27QMTP 	The festival is described in many ancient religious books.
3046_30 	AA4XJ5YP5SLN2 	The main festivals are Gemini&#44; Mimasa and Katha Graha
3046_31 	A2OCN0KL27QMTP 	This festival is mentioned in ancient manuscripts and texts like Narad Puran and Future mytholog.
3046_32 	A2OCN0KL27QMTP 	It also finds mention in in the records of Vindhya region located at Ramgarh in the year 300 B.C..
3046_34 	A1JNPLDD2U8VUC 	The famous Muslim tourist Ablabrooni has mentioned about holikotsav in his tour book.
3046_35 	A1JNPLDD2U8VUC 	Most of the Indian Muslims have mentioned in their writings about Holikotsav and it celebrated by both Muslims and Hindus.
3046_36 	A2OCN0KL27QMTP 	The most authentic history are the photos of the  Mughal period and this period is the subject of curiosity.
3046_37 	A1JNPLDD2U8VUC 	The holi festival by Akbhar with Jodhabayi and Jahangeer with Noorjahan is mentioned.
3046_39 	A12T8G7H6WN13A 	During the times of Shajahan the way holy was celebrated by Moghuls completely changed.
3046_40 	A3GI3466NOP5HJ 	according to history&#44; during Shahjahan&#39;s reign&#44; Holi was also called Eid-e-Gulabi or Shower of Colors.
3046_41 	A12T8G7H6WN13A 	It is well known fact that last Moghul emperor Badsha Bahadur Zafur used to be smeared with colors by his ministers.
3046_42 	A12T8G7H6WN13A 	In the middle age Hindi literature in the Dances(lila)Of Krishna there is a detailed description of Holy.
3046_44 	A3GI3466NOP5HJ 	in the 16th century&#44; in Vijyanagar&#39;s capital Humpi&#44; a mesmerizing painting depicting holi was  exhibited on canvas.
3046_45 	A3GI3466NOP5HJ 	in this painting&#44; princes and princesses were depicted with their servants playing with colors and water pistols.
3046_46 	A3GI3466NOP5HJ 	in the 16th century&#44; in the capital of Ahmednagar&#44; the title of one picture is holi itself.
3046_47 	A3GI3466NOP5HJ 	in this painting&#44; a couple of the royal family has been depicted swinging on a swing.
3046_49 	AL9K2BNO4E0F4 	They are spraying colour on each other with spray guns.
3046_50 	A370556EFVZ9W4 	Holi celebration can be seen in the pictures and sculpture in temples across India.
3046_51 	A9YS2FWO4UV7G 	For example&#44; the king of Mewad&#44; Maharana with his courtiers is depicted in a wall-painting of 17th century.
3046_52 	A9YS2FWO4UV7G 	The rulers are giving gifts to some people&#44; Female dancers are dancing&#44; and amidst all this&#44; a tub of colored water is kept.
3046_58 	AL9K2BNO4E0F4 	Many stories are related to the saga of killing of Hiranyakasipu by Lord Nrusimha.
3046_59 	A370556EFVZ9W4 	The most famous story among these is that of Prahlad.
3046_60 	A9YS2FWO4UV7G 	It is believed that Hiranyakashipu was a very powerful demon in ancient times.
3046_62 	AFD2H8FZGWTBE 	He banned reciting name of God in his Kingdom.
3046_63 	AFD2H8FZGWTBE 	Hiranyakshyap&#39;s son Prahalad was the devotee of God.
3046_64 	ADOXDQPX17PHN 	Hiranyakashipu was angry with Prahlad&#39;s devotion towards Lord&#44; and hence gave him rigorous punishment&#44; but Prahlad din&#39;t leave his path of devotion towards Lord.
3046_65 	A2EQZRRITDQ59I 	Hiranyakashubu&#39;s sister Holika had been blessed to withstand fire.
3046_67 	A2EQZRRITDQ59I 	When she sat in the fire&#44; Holika burned but Prahllad escaped.
3046_68 	A2EQZRRITDQ59I 	Holi is celebrated in the memory of the god&#39;s devotee Prahllad.
3046_69 	A2CSX5G96MCRHK 	The meaning of Prahlad is happiness. So symbolically this is a festival of happiness.
3046_70 	ADOXDQPX17PHN 	Thus&#44; Holika(Wood used for burning)&#44; the representative of Hatred and Destruction is burnt and Prahlad(Happiness)&#44; the representative of Love and Happiness remains eternal.
3046_72 	A2JPXAF2MC24F7 	Some people believe that during Holi people decorated themselves like Shiva&#39;s followers by painting in different colors and through dancing and singing and created a scene like that of marriage procession of Shiva.
3046_73 	A3GI3466NOP5HJ 	some people also believe that Lord Krishna killed the demon named Putana.
3046_74 	AHSM0NCHR7DMZ 	For this occasion Gopiyo(girls) and Gwale(boys)&#44; dance together(Rasleela) and plays with the colour.
3046_77 	AHSM0NCHR7DMZ 	In older days&#44; for the happiness and wealth of family&#44; married women worship full moon on this day.
3046_79 	A2JPXAF2MC24F7 	During vedic age this festival was known as Navatresti Sacrifice.
3046_80 	A3GI3466NOP5HJ 	in those times&#44; the grains produced from the fields was offered during these prayers and then eaten as blessed food.
3046_81 	A3GI3466NOP5HJ 	these grains were called Hola&#44; and this is how the festival was named Holi.
3046_83 	AVWWDENWU115I 	After this celebration Chaitra Month (the first month of the new year) will start|
3046_84 	A395QBMPE1DHQD 	This festival denotes beginning of the new year as well as is a symbol of beginning of spring.
3046_85 	A395QBMPE1DHQD 	As the birth of the first person Manu also took place on this day&#44; it is also called as Manwadithithi.
3046_89 	A1E27YTR0AV5GB 	the first task of holika dahanholi is to erect a flag or a stick
3046_91 	A395QBMPE1DHQD 	Holika&#39;s material for burning is collected near this place.
3046_92 	AVWWDENWU115I 	All these preparations will start much before the arrival of the Holi festival
3046_93 	A395QBMPE1DHQD 	The first day of the festival is called Holika dahan.
3046_94 	A395QBMPE1DHQD 	On this day&#44; wood collected for burning in the junction or any other place is burnt as Holi.
3046_96 	A2EQZRRITDQ59I 	Many places have the practice of burning garland of cowdung cake(barboliya) on  Holika.
3046_97 	A2EQZRRITDQ59I 	Barboliya(garland of cowdung)is made from the cow dung which has a hole at the centre.
3046_98 	A9YS2FWO4UV7G 	A garland is made by arranging these with a thread going through these holes.
